открытие 14.09.2018;максимум 14.09.2018;минимум 14.09.2018;закрытие 14.09.2018;открытие 16.10.2018;максимум 16.10.2018;минимум 16.10.2018;закрытие 16.10.2018;открытие 14.11.2018;максимум 14.11.2018;минимум 14.11.2018;закрытие 14.11.2018;открытие 14.12.2018;максимум 14.12.2018;минимум 14.12.2018;закрытие 14.12.2018
107290;107770;107290;107720;114540;115140;114540;114890;109390;109600;108960;109000;112880;112880;112040;112300
107760;107800;107690;107800;114870;115020;114800;114820;109010;109260;108840;108860;112300;112320;112100;112130
107780;107780;107610;107610;114810;114820;114660;114720;108850;108960;108770;108890;112120;112200;112000;112200
107600;107670;107570;107650;114720;114730;114550;114580;108890;109220;108870;109200;112180;112200;112120;112130
107650;107650;107490;107570;114570;114680;114570;114650;109210;109210;109020;109020;112120;112140;111940;112010
107600;107600;107550;107570;114660;114710;114630;114710;109030;109190;108910;109150;112020;112020;111930;112000
107600;107660;107600;107600;114710;114730;114410;114450;109160;109180;109020;109020;112000;112080;111990;112040
107620;107670;107620;107670;114460;114550;114390;114550;109010;109270;109010;109110;112040;112100;112020;112100
107640;107690;107640;107690;114550;114580;114430;114480;109110;109190;109090;109130;112090;112090;112050;112080
107650;107650;107650;107650;114470;114540;114470;114500;109130;109180;109060;109120;112050;112100;112040;112090
107660;107660;107610;107640;114500;114770;114470;114770;109130;109150;109020;109090;112080;112090;112020;112070
107650;107650;107650;107650;114760;114810;114690;114740;109080;109230;109060;109200;112060;112120;112030;112110
107660;107710;107660;107710;114740;114780;114650;114680;109190;109270;109110;109110;112110;112110;112060;112080
107750;107850;107740;107850;114670;114710;114530;114590;109110;109110;108960;109060;112070;112070;112000;112000
107880;107900;107850;107880;114580;114660;114550;114580;109070;109070;108950;108950;112000;112010;111960;111970
107900;107910;107790;107860;114590;114640;114520;114610;108950;109010;108910;108950;111960;112050;111930;112050
107880;107910;107870;107910;114600;114670;114590;114640;108940;109040;108910;109020;112050;112060;111970;112000
107920;107990;107920;107950;114640;114800;114630;114740;109030;109120;108990;109030;112000;112060;111990;112060
107930;107930;107780;107850;114750;114820;114740;114790;109020;109090;108960;109090;112040;112060;111990;112020
107870;107890;107810;107820;114790;114840;114750;114780;109080;109200;109050;109110;112000;112010;111870;111900
107890;107890;107840;107840;114780;114830;114730;114810;109100;109160;109030;109150;111910;111960;111860;111910
107820;107820;107800;107800;114820;114890;114740;114780;109150;109320;109130;109300;111900;111930;111860;111910
107780;107820;107780;107820;114770;114810;114730;114800;109300;109400;109260;109270;111900;111920;111840;111840
107810;107810;107740;107740;114780;114780;114670;114740;109280;109440;109280;109440;111840;111860;111780;111840
107720;107720;107560;107560;114740;114820;114740;114770;109440;109440;109340;109340;111830;111860;111780;111790
107620;107690;107580;107680;114780;114830;114720;114750;109340;109470;109330;109440;111780;111780;111560;111700
107690;107750;107690;107750;114750;114840;114750;114830;109450;109550;109450;109530;111710;111740;111680;111700
